news_id,timestamp,headline_excerpt,sentiment_label,confidence_score,annotator_id,notes
NEWS-0001,2024-01-15T09:00:00Z,"Bitcoin Surges Past $60,000...",Positive,0.95,Annotator-A,"Clear positive sentiment regarding price action post-halving."
NEWS-0002,2024-01-15T09:30:00Z,"Ethereum Staking Rewards See Slight Dip...",Neutral,0.70,Annotator-B,"Slightly negative news, but framed neutrally as a dip, not a crash."
NEWS-0003,2024-01-16T10:15:00Z,"Solana Ecosystem Fund Announces New Grants...",Positive,0.88,Annotator-A,"Positive for the ecosystem development."
NEWS-0004,2024-01-16T11:00:00Z,"Regulatory Uncertainty Weighs on Cardano...",Negative,0.80,Annotator-C,"Clear negative sentiment related to regulation."
NEWS-0005,2024-01-17T11:45:00Z,"Chainlink Price Feeds Expand...",Positive,0.92,Annotator-B,"Positive partnership/expansion news."
NEWS-0006,2024-01-17T12:30:00Z,"Major Exchange Lists Polygon (MATIC)...",Positive,0.85,Annotator-A,"Generally positive due to increased accessibility/liquidity."
NEWS-0007,2024-01-18T13:00:00Z,"Global Crypto Market Cap Reaches $2.5 Trillion...",Positive,0.90,Annotator-C,"Positive market trend indicator."
NEWS-0008,2024-01-18T14:00:00Z,"SEC Approves Spot Ethereum ETF...",Positive,0.98,Annotator-B,"Major positive regulatory news for Ethereum."
NEWS-0009,2024-01-19T15:00:00Z,"NFT Market Shows Signs of Stabilization...",Neutral,0.65,Annotator-A,"Headline indicates stabilization, not strong recovery. Cautiously neutral."
NEWS-0010,2024-01-19T16:00:00Z,"Fed Chair Comments on Inflation; Crypto Markets Remain Volatile...",Negative,0.60,Annotator-C,"Focuses on volatility and inflation concerns, likely perceived negatively."
NEWS-0011,2024-01-20T16:30:00Z,"New DeFi Protocol Launches on Avalanche...",Positive,0.82,Annotator-A,"New protocol launch is positive for the ecosystem."
NEWS-0012,2024-01-20T17:00:00Z,"Bitcoin Mining Difficulty Hits New High...",Neutral,0.75,Annotator-B,"Indicates network security but also higher costs for miners."
NEWS-0013,2024-01-21T17:45:00Z,"XRP Ledger Sees Increase in Active Wallets...",Positive,0.70,Annotator-C,"Increased activity is generally positive."
NEWS-0014,2024-01-21T18:15:00Z,"Dogecoin Price Stagnates Despite Musk Tweet...",Neutral,0.60,Annotator-A,"Lack of price movement despite potential catalyst is neutral."
NEWS-0015,2024-01-22T19:00:00Z,"Venture Capital Pours $50M into Web3 Gaming Startup...",Positive,0.90,Annotator-B,"Significant investment indicates positive sentiment in the sector."
NEWS-0016,2024-01-22T19:30:00Z,"Security Audit Reveals Vulnerability in Smart Contract...",Negative,0.95,Annotator-C,"Clear negative security news."
NEWS-0017,2024-01-23T20:00:00Z,"Polkadot Parachain Auctions Enter New Phase...",Neutral,0.80,Annotator-A,"Procedural update, neutral impact on price typically."
NEWS-0018,2024-01-23T20:45:00Z,"Ethereum Gas Fees Remain Elevated...",Negative,0.70,Annotator-B,"High fees are a negative user experience."
NEWS-0019,2024-01-24T21:15:00Z,"Crypto Adoption Grows in South America...",Positive,0.85,Annotator-C,"Positive trend for global adoption."
NEWS-0020,2024-01-24T22:00:00Z,"Binance Completes System Upgrade...",Neutral,0.90,Annotator-A,"Routine maintenance, neutral unless issues arise."
NEWS-0021,2024-01-25T22:30:00Z,"Solana Network Experiences Intermittent Congestion...",Negative,0.65,Annotator-B,"Network issues are negative."
NEWS-0022,2024-01-25T23:00:00Z,"Cardano Summit Highlights New Development Milestones...",Positive,0.80,Annotator-C,"Positive news from project updates."
NEWS-0023,2024-01-26T23:45:00Z,"Litecoin Hashrate Shows Steady Growth...",Positive,0.72,Annotator-A,"Positive indicator for network health."
NEWS-0024,2024-01-27T00:15:00Z,"US Treasury Official Calls for Stricter Stablecoin Regulation...",Negative,0.85,Annotator-B,"Increased regulatory scrutiny often perceived negatively."
NEWS-0025,2024-01-27T01:00:00Z,"Decentraland Hosts Virtual Fashion Week...",Neutral,0.68,Annotator-C,"Metaverse event, neutral market impact unless major partnerships involved."
NEWS-0500,2024-02-10T15:45:00Z,"Technical Analysis Suggests Potential Breakout for LINK...",Positive,0.78,Annotator-B,"Positive technical outlook."
NEWS-1000,2024-02-20T10:00:00Z,"Bitcoin Holds Support Above $58,000...",Neutral,0.70,Annotator-A,"Price holding support is neutral-positive, but lacks strong upward momentum."
NEWS-1001,2024-03-01T09:00:00Z,"Bitcoin Tests $65,000 Resistance...",Positive,0.95,Annotator-A,"Testing key resistance level, viewed positively."
NEWS-1002,2024-03-01T09:30:00Z,"Ethereum Layer 2 Solutions Show Record Transaction Volume...",Positive,0.80,Annotator-B,"Positive adoption indicator for L2s."
