id,timestamp,headline,source,url,related_symbols,category,summary
NEWS-1001,2024-04-01T09:00:00Z,"Bitcoin Surges Past $80,000 Amid ETF Inflows",CoinDesk,,BTC-USD;ETH-USD,Market Trend,"Bitcoin price soared to new all-time highs, fueled by record inflows into spot Bitcoin ETFs. Ethereum followed with strong gains."
NEWS-1002,2024-04-01T09:30:00Z,"Ethereum Staking Rewards Hit New Highs",CryptoNews,,ETH-USD,Protocol Update,"Ethereum validator rewards have reached their highest levels since the Shanghai upgrade, attracting new participants."
NEWS-1003,2024-04-01T10:15:00Z,"Solana Foundation Launches AI Grant Program",Solana Blog,,SOL-USD,Ecosystem,"A new grant program aims to foster AI-powered DeFi projects on the Solana blockchain."
NEWS-1004,2024-04-01T11:00:00Z,"Cardano Partners With Major University for Blockchain Research",Altcoin Today,,ADA-USD,Partnership,"Cardano Foundation announces a multi-year research partnership with a leading university to advance blockchain scalability."
NEWS-1005,2024-04-01T11:45:00Z,"Chainlink Integrates With Top Insurance Platform",Chainlink Blog,,LINK-USD,Integration,"Chainlink's oracles will now provide real-time data for decentralized insurance products."
NEWS-1006,2024-04-01T12:30:00Z,"Polygon (MATIC) Launches Zero-Knowledge Rollups",Exchange Announcements,,MATIC-USD,Technology,"Polygon introduces zk-rollups to improve scalability and reduce transaction costs."
NEWS-1007,2024-04-01T13:00:00Z,"Global Crypto Market Cap Surpasses $2 Trillion",MarketWatch Crypto,,BTC-USD;ETH-USD;SOL-USD,Market Trend,"The total market capitalization of cryptocurrencies has exceeded $2 trillion, led by surges in Bitcoin and Ethereum."
NEWS-1008,2024-04-01T14:00:00Z,"SEC Approves First Spot Ethereum ETF",Reuters,,ETH-USD,Regulation,"The U.S. Securities and Exchange Commission has approved the first spot Ethereum ETF, marking a milestone for the industry."
NEWS-1009,2024-04-01T15:00:00Z,"NFT Market Rebounds With Record Sales Volume",NFT Times,,ETH-USD;SOL-USD,NFTs,"NFT trading volumes have reached new records, signaling renewed interest in digital collectibles."
NEWS-1010,2024-04-01T16:00:00Z,"Fed Rate Decision Sparks Crypto Volatility",Bloomberg,,BTC-USD,Macroeconomics,"The Federal Reserve's latest rate decision triggered sharp price swings across both traditional and crypto markets."
